# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T07:32:30Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_36AE_2007.nc,42.9648,45.0182,29.3282,29.8155,2007-10-05T00:00:00Z,2007-10-09T00:00:00Z,Hellenic Centre for Marine Research,2021-01-06T12:52:53Z,D,PRES AMON NTRA NTRI
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_7301_2009.nc,44.1667,45.1333,28.6833,29.9167,2009-05-06T11:55:00Z,2009-09-17T08:55:00Z,National Institute for Marine Research and Development (Romania),2021-01-06T12:52:54Z,D,PRES TEMP PSAL AMON NTRA NTRI CHLT
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_73AA_2008.nc,42.4967,44.7742,29.5884,31.0043,2008-04-07T08:45:00Z,2008-09-11T15:09:00Z,National Institute for Marine Research and Development (Romania),2021-01-06T12:52:54Z,D,PRES TEMP PSAL AMON NTRA NTRI
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_89BL_2008.nc,40.499,43.2012,27.1429,36.9995,2008-04-11T22:52:00Z,2008-10-04T15:16:00Z,Middle East Technical University,2021-01-06T12:52:55Z,D,PRES TEMP PSAL AMON NTRA NTRI DENS CHLT
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_90KC_2006.nc,44.3014,44.3182,37.5525,37.5896,2006-08-19T17:42:00Z,2006-08-20T16:55:00Z,P.P.Shirshov Institute of Oceanology {RAS},2021-01-06T12:52:56Z,D,PRES TEMP PSAL AMON NTRA NTRI ALKY
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_90KC_2007.nc,43.249,44.565,36.8072,37.9728,2007-04-25T23:31:00Z,2007-10-19T14:38:00Z,P.P.Shirshov Institute of Oceanology {RAS},2021-01-06T12:52:56Z,D,PRES TEMP PSAL AMON NTRA NTRI DENS ALKY CHLT
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_90KC_2008.nc,42.492,44.558,37.14,39.8,2008-04-19T15:54:00Z,2008-09-13T16:29:00Z,P.P.Shirshov Institute of Oceanology {RAS},2021-01-06T12:52:57Z,D,PRES TEMP PSAL AMON NTRA NTRI DENS ALKY CHLT
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_UNODC102_1985.nc,43.25,43.25,29.317,29.317,1985-09-06T02:00:00Z,1985-09-06T02:00:00Z,Marine Hydrophysical Institute RAS,2021-01-06T12:52:58Z,D,PRES TEMP PSAL DOX1
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_UNODC103_1986.nc,42.033,44.467,29.492,41.042,1986-11-23T04:25:00Z,1986-12-11T23:55:00Z,Marine Hydrophysical Institute RAS,2021-01-06T12:52:58Z,D,PRES TEMP PSAL
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/history/BO/BS_PR_BO_UNODC104_1988.nc,42,46.085,27.92,35.5,1988-04-12T00:22:00Z,1988-05-22T00:00:00Z,Marine Hydrophysical Institute RAS,2021-01-06T12:52:59Z,D,PRES TEMP PSAL
