# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T07:32:19Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15360_20210113.nc,45.15,45.15,29.67,29.67,2021-01-13T06:00:00Z,2021-01-13T18:00:00Z,National Institute of Meteorology and Hydrology Romania,2021-02-12T07:29:00Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15428_20210113.nc,44.68,44.68,28.98,28.98,2021-01-13T06:00:00Z,2021-01-13T18:00:00Z,National Institute of Meteorology and Hydrology Romania,2021-02-12T07:29:01Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15480_20210113.nc,44.22,44.22,28.63,28.63,2021-01-13T06:00:00Z,2021-01-13T18:00:00Z,National Institute of Meteorology and Hydrology Romania,2021-02-12T07:29:01Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15499_20210113.nc,43.8,43.8,28.58,28.58,2021-01-13T06:00:00Z,2021-01-13T12:00:00Z,National Institute of Meteorology and Hydrology Romania,2021-02-12T07:29:02Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15552_20210113.nc,43.2,43.2,27.95,27.95,2021-01-13T06:00:00Z,2021-01-13T18:00:00Z,National Institute of Meteorology and Hydrology Bulgaria,2021-02-12T07:29:02Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_15655_20210113.nc,42.5,42.5,27.48,27.48,2021-01-13T06:00:00Z,2021-01-13T18:00:00Z,National Institute of Meteorology and Hydrology Bulgaria,2021-02-12T07:29:02Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Amasra_20210113.nc,41.7444,41.7444,32.3918,32.3918,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,General Command of Mapping (Turkey),2021-02-12T07:29:02Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Balchik_20210113.nc,43.404,43.404,28.165,28.165,2021-01-13T00:01:00Z,2021-01-13T23:00:00Z,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),2021-02-12T07:29:03Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_CG_20210113.nc,43.8022,43.8022,28.6055,28.6055,2021-01-13T08:30:00Z,2021-01-14T00:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-12T07:29:03Z,R,DEPH TEMP HCSP EWCT NSCT HCDT ATMS DRYT WSPD WDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_EUXRo02_20210113.nc,44.318,44.318,30.417,30.417,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-12T07:29:04Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_EUXRo03_20210113.nc,43.98,43.98,29.936,29.936,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-12T07:29:05Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Igneada_20210113.nc,41.8888,41.8888,28.0237,28.0237,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,General Command of Mapping (Turkey),2021-02-12T07:29:05Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Istanbul_20210113.nc,41.1598,41.1598,29.0741,29.0741,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,General Command of Mapping (Turkey),2021-02-12T07:29:06Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Mangalia_20210113.nc,43.8014,43.8014,28.5952,28.5952,2021-01-13T00:00:00Z,2021-01-13T23:00:00Z,Joint Research Centre (Europe) National institute for Earth Physics (Romania),2021-02-12T07:29:06Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_SPOT0772_20210113.nc,43.182,43.1824,27.9955,27.9955,2021-01-13T00:12:49Z,2021-01-13T23:42:49Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2021-02-12T07:29:06Z,R,DEPH TEMP VHM0 VTPK VMDR VPED VPSP WSPD WDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_MO_SPOT0773_20210113.nc,42.9584,42.9596,27.9088,27.9088,2021-01-13T00:23:01Z,2021-01-13T23:23:01Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2021-02-12T07:29:07Z,R,DEPH TEMP VHM0 VTPK VMDR VPED VPSP WSPD WDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20210113/BS_TS_TG_Samsun_20210113.nc,41.2949,41.2949,36.3375,36.3375,2021-01-13T00:00:00Z,2021-01-13T10:00:00Z,General Command of Mapping (Turkey),2021-02-12T07:29:07Z,R,DEPH SLEV
