# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T07:32:23Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/CT/201601/BS_PR_CT_15AK_201601.nc,42.1667,43.6333,27.5183,30.0605,2016-01-23T09:18:00Z,2016-01-31T13:22:00Z,Institute of Oceanology-BAS Varna,2021-02-01T18:23:51Z,D,PRES TEMP PSAL
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_99001_201601.nc,45.1,45.1,36.4,36.4,2016-01-01T06:00:00Z,2016-01-31T06:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2021-02-01T18:12:37Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_99007_201601.nc,45.4,45.4,36.6,36.6,2016-01-01T06:00:00Z,2016-01-31T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2021-02-01T18:12:38Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_99009_201601.nc,45.5,45.5,35.8,35.8,2016-01-01T06:00:00Z,2016-01-31T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2021-02-01T18:12:38Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_99040_201601.nc,45.2167,45.2167,36.7167,36.7167,2016-01-08T06:00:00Z,2016-01-31T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2021-02-01T18:12:39Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_CG_201601.nc,43.8022,43.8022,28.6025,28.6025,2016-01-04T10:30:00Z,2016-01-31T23:45:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-01T18:12:40Z,R,DEPH TEMP FLU2 DOXY HCSP EWCT NSCT HCDT TUR4 ATMS DRYT WSPD WDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_EUXRo01_201601.nc,44.7,44.7,30.779,30.779,2016-01-08T01:00:00Z,2016-01-09T00:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-01T18:12:42Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_EUXRo02_201601.nc,44.318,44.318,30.417,30.417,2016-01-08T01:00:00Z,2016-01-09T00:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-01T18:12:43Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_EUXRo03_201601.nc,43.98,43.98,29.936,29.936,2016-01-08T01:00:00Z,2016-01-09T00:00:00Z,National Institute of Marine Geology and Geo-ecology,2021-02-01T18:12:44Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201601/BS_TS_MO_Karantina_201601.nc,43.173,43.173,27.924,27.924,2016-01-01T00:00:00Z,2016-01-31T13:45:00Z,Institute of Oceanology-BAS Varna,2021-02-01T18:12:45Z,R,DEPH TEMP
