# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms
# Project :  Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T15:30:57Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
15360,2021-02-12T15:29:12Z,2021-02-12T15:29:12Z,15360,BS_TS_MO_15360_YYYYMMDD,National Institute of Meteorology and Hydrology Romania, ,DEPH TEMP,45.15,29.67,2021-02-12T06:00:00Z
15428,2021-02-12T15:29:07Z,2021-02-12T15:29:07Z,15428,BS_TS_MO_15428_YYYYMMDD,National Institute of Meteorology and Hydrology Romania, ,DEPH TEMP,44.68,28.98,2021-02-11T12:00:00Z
15480,2021-02-12T15:29:12Z,2021-02-12T15:29:12Z,15480,BS_TS_MO_15480_YYYYMMDD,National Institute of Meteorology and Hydrology Romania, ,DEPH TEMP,44.22,28.63,2021-02-12T06:00:00Z
15499,2021-02-12T15:29:08Z,2021-02-12T15:29:08Z,15499,BS_TS_MO_15499_YYYYMMDD,National Institute of Meteorology and Hydrology Romania, ,DEPH TEMP,43.8,28.58,2021-02-11T12:00:00Z
15552,2021-02-12T15:29:12Z,2021-02-12T15:29:12Z,15552,BS_TS_MO_15552_YYYYMMDD,National Institute of Meteorology and Hydrology Bulgaria,961,DEPH TEMP,43.2,27.95,2021-02-12T06:00:00Z
15655,2021-02-12T15:29:13Z,2021-02-12T15:29:13Z,15655,BS_TS_MO_15655_YYYYMMDD,National Institute of Meteorology and Hydrology Bulgaria,961,DEPH TEMP,42.5,27.48,2021-02-12T06:00:00Z
3901852,2021-02-10T15:01:08Z,2021-02-10T15:01:08Z,3901852,GL_PR_PF_3901852_YYYYMMDD,Institute of Marine Sciences  Middle East Technical University (IMS-METU),696,PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED,41.51214,40.56880,2021-02-10T12:10:30Z
3901854,2021-02-11T22:01:10Z,2021-02-11T22:01:10Z,3901854,GL_PR_PF_3901854_YYYYMMDD,Euro-Argo,4614,PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED,41.86824,41.28123,2021-02-11T12:07:00Z
3901855,2021-02-10T14:01:31Z,2021-02-10T14:01:31Z,3901855,GL_PR_PF_3901855_YYYYMMDD,Euro-Argo,4614,PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED,42.03650,32.05630,2021-02-10T11:58:30Z
6901833,2021-02-12T07:03:16Z,2021-02-12T07:03:16Z,6901833,GL_PR_PF_6901833_YYYYMMDD,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,120,PRES TEMP PSAL,42.26034,40.59776,2021-02-12T00:03:00Z
6901834,2021-02-08T03:01:26Z,2021-02-08T03:01:26Z,6901834,GL_PR_PF_6901834_YYYYMMDD,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,120,PRES TEMP PSAL,44.56550,32.68251,2021-02-07T23:55:00Z
6903240,2021-02-08T10:03:36Z,2021-02-08T10:03:36Z,6903240,GL_PR_PF_6903240_YYYYMMDD,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,120,PRES TEMP PSAL DOX2 DOX2_ADJUSTED BBP700 BISULFIDE CDOM CPHL CPHL_ADJUSTED DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 DOWN_IRRADIANCE490 LGHT,43.08771,40.12850,2021-02-08T04:46:00Z
6903271,2021-02-10T09:04:54Z,2021-02-10T09:04:54Z,6903271,GL_PR_PF_6903271_YYYYMMDD,Euro-Argo,4614,PRES TEMP PSAL,42.33227,32.49937,2021-02-10T05:56:30Z
6903766,2021-02-10T10:02:02Z,2021-02-10T10:02:02Z,6903766,GL_PR_PF_6903766_YYYYMMDD,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,120,PRES TEMP PSAL,42.13632,29.86268,2021-02-10T06:04:30Z
6903782,2021-02-10T09:04:57Z,2021-02-10T09:04:57Z,6903782,GL_PR_PF_6903782_YYYYMMDD,OGS  Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,120,PRES TEMP PSAL,43.37869,35.85971,2021-02-10T05:47:30Z
6903866,2021-02-12T08:03:11Z,2021-02-12T08:03:11Z,6903866,GL_PR_PF_6903866_YYYYMMDD,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),1843,PRES TEMP PSAL,41.56224,29.60820,2021-02-12T02:47:30Z
6903867,2021-02-12T08:03:15Z,2021-02-12T08:03:15Z,6903867,GL_PR_PF_6903867_YYYYMMDD,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),1843,PRES TEMP PSAL DOX2,42.56591,28.82872,2021-02-12T02:46:30Z
7900595,2021-02-12T09:07:52Z,2021-02-12T09:07:52Z,7900595,GL_PR_PF_7900595_YYYYMMDD,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),1843,PRES TEMP PSAL,41.63867,31.25180,2021-02-12T05:55:20Z
7900596,2021-02-09T10:02:39Z,2021-02-09T10:02:39Z,7900596,GL_PR_PF_7900596_YYYYMMDD,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),1843,PRES TEMP PSAL DOX2,43.05836,36.27081,2021-02-09T05:45:00Z
Amasra,2021-02-12T15:29:13Z,2021-02-12T15:29:13Z, ,BS_TS_TG_Amasra_YYYYMMDD,General Command of Mapping (Turkey),1014,DEPH SLEV,41.7444,32.3918,2021-02-12T13:02:30Z
Balchik,2021-02-12T15:29:13Z,2021-02-12T15:29:13Z, ,BS_TS_TG_Balchik_YYYYMMDD,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),1843,DEPH SLEV,43.404,28.165,2021-02-12T13:18:00Z
